id;active;year;gender;want_spam;balance;undo_count
291;f;2000;M;t;-1600;0
292;f;2010;M;t;0;0
293;f;1980;M;t;-10100;0
294;f;2015;M;t;0;0
295;f;1986;M;t;0;0
296;f;2004;M;t;-450;0
297;f;2000;M;t;-6550;0
298;f;2010;M;t;850;0
299;t;2016;M;t;4650;0
300;f;1992;M;t;0;0
301;f;1997;M;t;0;0
302;t;2014;M;t;700;0
303;t;2008;U;t;100;0
304;f;1991;M;t;0;0
305;f;2004;M;t;-350;0
306;t;2013;M;t;100;0
307;f;2004;M;t;20850;0
308;f;2010;M;t;1000;0
309;f;1980;M;t;0;0
310;t;2015;M;t;0;0
311;t;2015;M;t;0;0
312;f;0;M;t;0;0
313;f;1999;M;t;1775;0
314;f;1990;M;t;0;0
315;f;1994;M;t;0;0
316;f;2005;M;t;-4425;0
317;f;2002;M;t;-3650;0
318;f;1997;M;t;-47850;0
319;f;2001;M;t;750;0
320;f;2000;F;t;3825;0
321;t;2016;F;t;6550;0
322;t;2011;M;t;1500;0
323;t;2012;M;t;17150;0
324;f;2004;M;t;0;0
325;t;2015;M;t;2550;0
326;f;1989;M;t;0;0
327;f;2002;M;t;675;0
328;f;1997;M;t;0;0
329;t;1995;M;t;24415;0
330;f;2001;M;t;25;0
331;f;2001;U;t;25;0
332;f;2008;M;t;500;0
333;f;2006;M;t;100;0
334;f;1996;M;t;0;0
335;f;2012;M;t;0;0
336;t;2015;M;t;3950;0
337;f;2003;U;t;0;0
338;f;1985;F;t;0;0
339;t;2016;M;t;0;0
340;f;1999;M;t;-13175;0
341;f;1979;M;t;0;0
342;f;1985;M;t;0;0
343;f;1994;M;t;0;0
344;f;1989;M;t;0;0
345;f;2007;U;t;0;0
346;f;1995;M;t;875;0
347;f;1985;M;t;0;0
348;t;2009;M;t;1150;0
349;f;2003;M;t;-600;0
350;f;2011;U;t;500;0
351;f;1997;M;t;2025;0
352;t;2015;M;t;1150;0
353;t;2015;M;t;4000;0
354;f;2002;M;t;-1150;0
355;f;2002;U;t;0;0
356;f;2006;M;t;3650;0
357;f;2008;M;t;0;0
358;f;1992;M;t;-20300;0
359;f;2005;M;t;150;0
360;f;2006;M;t;100;0
361;t;2014;M;t;19600;0
362;f;1994;U;t;400;0
363;t;1979;M;t;2775;0
364;f;2000;M;t;0;0
365;f;1979;M;t;0;0
366;f;1992;U;t;-9600;0
367;f;1987;U;t;0;0
368;f;1997;M;t;800;0
369;f;2006;M;t;4025;0
370;f;1985;M;t;0;0
371;f;1991;M;t;0;0
372;f;1984;M;t;0;0
373;f;1986;M;t;0;0
374;f;0;U;t;0;0
375;f;1990;M;t;0;0
376;f;1998;M;t;0;0
377;t;2014;M;t;1050;0
378;f;2012;F;t;350;0
379;f;1988;M;t;0;0
380;f;2004;M;t;-300;0
381;f;2005;M;t;-5000;0
382;t;2014;M;t;30900;0
383;t;2013;M;t;20000;0
384;f;1995;M;t;0;0
385;t;2013;M;t;5150;0
386;f;1992;U;t;0;0
387;t;1999;M;t;7200;0
388;f;2002;U;t;-1425;0
389;f;1991;F;t;0;0
390;f;1993;U;t;0;0
391;f;2002;M;t;-2550;0
392;f;1996;F;t;0;0
393;f;2005;M;t;475;0
394;t;2016;M;t;20100;0
395;f;2011;M;t;900;0
396;f;1999;M;t;300;0
397;t;2014;M;t;600;0
398;f;1996;M;t;0;0
399;t;2015;M;t;100;0
400;f;2002;M;t;150;0
401;f;1989;M;t;2900;0
402;f;1999;M;t;-175;0
403;t;2012;M;t;650;0
404;t;2014;M;t;14250;0
405;f;1991;M;t;0;0
406;f;2007;M;t;5475;0
407;t;2014;M;t;350;0
408;f;1996;M;t;-1050;0
409;f;1988;U;t;0;0
410;t;2012;M;t;400;0
411;f;1985;U;t;0;0
412;f;2002;M;t;350;0
413;t;2013;M;t;16200;0
414;t;2016;M;t;1850;0
415;f;2006;M;t;450;0
416;f;2005;M;t;400;0
417;f;2005;M;t;10000;0
418;t;2015;M;t;100;0
419;f;2009;M;t;53150;0
420;f;2004;M;t;25;0
421;f;2002;U;t;0;0
422;f;2002;U;t;11550;0
423;f;2001;M;t;-3350;0
424;f;1979;M;t;0;0
425;t;2013;M;t;16000;0
426;f;1985;M;t;0;0
427;f;2012;M;t;300;0
428;f;2001;M;t;0;0
429;f;2000;M;t;-21525;0
430;t;1979;M;t;800;0
431;f;2005;U;t;-5200;0
432;f;1994;M;t;0;0
433;t;2014;M;t;7400;0
434;f;2008;M;t;5200;0
435;f;2006;M;t;0;0
436;t;2016;M;t;150;0
437;f;1977;M;t;3300;0
438;t;2011;M;t;850;0
439;f;1981;U;t;0;0
440;t;2012;M;t;700;0
441;t;2014;M;t;150;0
442;f;2001;U;t;175;0
443;f;2009;M;t;500;0
444;f;2000;U;t;50;0
445;f;1984;U;t;425;0
446;f;2009;M;t;650;0
447;f;2002;M;t;-2075;0
448;f;2001;F;t;0;0
449;f;1996;M;t;0;0
450;f;1991;M;t;3100;0
451;f;1994;M;t;0;0
452;f;1999;M;t;0;0
453;f;1999;M;t;0;0
454;f;1985;M;t;0;0
455;f;1995;M;t;0;0
456;f;2002;M;t;-675;0
457;f;1999;M;t;75;0
458;f;1993;M;t;0;0
459;f;2008;M;t;400;0
460;f;2003;U;t;0;0
461;t;2015;U;t;3000;0
462;t;2016;M;t;0;0
463;f;1984;U;t;0;0
464;f;1992;M;t;0;0
465;t;2015;M;t;350;0
466;f;1995;U;t;0;0
467;f;2002;M;t;-3725;0
468;f;1983;M;t;0;0
469;f;2001;M;t;-850;0
470;f;2001;U;t;-75;0
